Ticker,Company,Average Age
BSX,Boston Scientific,55.71428571
BWA,BorgWarner,53.71428571
BXP,Boston Properties,65.14285714
C,Citigroup,60.75
CAG,Conagra Brands,55.75
CAH,Cardinal Health,50.4
CARR,Carrier Global,51.85714286
CAT,Caterpillar,56.5
CB,Chubb,62.85714286
CBOE,Cboe Global Markets,53.6
CBRE,CBRE,53.22222222
CCI,Crown Castle,52.875
CCL,Carnival ,61.16666667
CDAY,Ceridian,51.5
CDNS,Cadence Design Systems,57.5
CDW,CDW,54.14285714
CE,Celanese,53.42857143
CF,CF Industries,57.875
CFG,Citizens Financial Group,57
CHD,Church & Dwight,56.25
CHRW,C. H. Robinson,53.55555556
CHTR,Charter Communications,54.375
CI,Cigna,52.375
CINF,Cincinnati Financial,59.875
CL,Colgate-Palmolive,58.83333333
CLX,Clorox,50.11111111
CMA,Comerica,52
CMCSA,Comcast,56.42857143
CME,CME Group,58.33333333
CMG,Chipotle Mexican Grill,55.625
CMI,Cummins,57.11111111
CMS,CMS Energy,46.66666667
CNC,Centene ,58.33333333
CNP,CenterPoint Energy,56.125
COF,Capital One Financial,55.875
COO,The Cooper Companies,53
COP,ConocoPhillips,56.83333333
COST,Costco,64.33333333
CPB,Campbell Soup,54
CPRT,Copart,54.875
CRL,Charles River Laboratories,56.5
CRM,Salesforce,54
CSCO,Cisco Systems,57.83333333
CSX,CSX,53.75
CTAS,Cintas ,55.16666667
CTLT,Catalent,52.25
CTRA,Coterra,55.125
CTSH,Cognizant Technology Solutions,57.42857143
CTVA,Corteva,57.16666667
CVS,CVS Health,59.71428571
CVX,Chevron ,58.55555556
CZR,Caesars Entertainment,51.75
D,Dominion Energy,54.66666667
DAL,Delta Air Lines,58.6
DD,DuPont,53
DE,Deere & Co.,51.5
DFS,Discover Financial Services,57.42857143
DG,Dollar General,55.28571429
DGX,Quest Diagnostics,59.33333333
DHI,D. R. Horton,59.33333333
DHR,Danaher ,59
DIS,The Walt Disney Company,62.42857143
DISH,Dish Network,57.375
DLR,Digital Realty Trust,52.66666667
DLTR,Dollar Tree,60.55555556
DOV,Dover ,56.88888889
DOW,Dow,56.14285714
DPZ,Domino's Pizza,55.25
DRE,Duke Realty ,57.6
DRI,Darden Restaurants,57.6
DTE,DTE Energy,57
DUK,Duke Energy,59.71428571
DVA,DaVita,51.71428571
DVN,Devon Energy,55.88888889
DXC,DXC Technology,56.25
DXCM,DexCom,53.125
EA,Electronic Arts,52
EBAY,eBay,53.42857143
ECL,Ecolab,53.57142857
ED,Consolidated Edison,57.25
EFX,Equifax,56.14285714
EIX,Edison International,56.5
EL,Estée Lauder Companies,58.11111111
ELV,Anthem,60.57142857
EMN,Eastman Chemical,55.33333333
EMR,Emerson Electric Company,59.42857143
ENPH,Enphase Energy,56.14285714
EOG,EOG Resources,55.5
EQIX,Equinix,56.125
EQR,Equity Residential,58.55555556
ES,Eversource Energy,59.125
ESS,Essex Property Trust,53.2
ETN,Eaton ,58.2
ETR,Entergy,56.16666667
ETSY,Etsy,49.14285714
EVRG,Evergy,54.4
EW,Edwards Lifesciences,61.71428571
EXC,Exelon,53.2
EXPD,Expeditors,56.71428571
EXPE,Expedia Group,56.71428571
EXR,Extra Space Storage,51.66666667
F,Ford,56.33333333
FANG,Diamondback Energy,50.33333333
FAST,Fastenal,55.125
FB,Facebook,47.375
FCX,Freeport-McMoRan,60
FDX,FedEx,62.14285714
FE,FirstEnergy,55.57142857
FFIV,F5 Networks,53.42857143
FIS,Fidelity National Information Services,55.14285714
FISV,Fiserv,58.25
FITB,Fifth Third Bancorp,54.625
FLT,Fleetcor,54.16666667
FMC,FMC ,56.8
FOX,Fox (Class B),63.8
FOXA,Fox (Class A),63.8
FRC,First Republic Bank,59.33333333
FRT,Federal Realty Investment Trust,56.2
FTNT,Fortinet,58.6
FTV,Fortive,53.66666667
GD,General Dynamics,60.77777778
GE,General Electric,56.14285714
GILD,Gilead Sciences,56.5
GIS,General Mills,54
GL,Globe Life,58.33333333
GLW,Corning,58.57142857
GM,General Motors,57.66666667
GNRC,Generac Holdings,53.5
GOOG,Alphabet (Class C),55
GOOGL,Alphabet (Class A),55
GPC,Genuine Parts,58.4
GPN,Global Payments,56.6
GPS,Gap,58.42857143
GRMN,Garmin,64.5
GS,Goldman Sachs,51
GWW,W. W. Grainger,53.5
HAL,Halliburton,58.75
HAS,Hasbro,53
HBAN,Huntington Bancshares,#NAME?
HBI,Hanesbrands,56.88888889
HCA,HCA Healthcare,62.77777778
HD,Home Depot,57
HES,Hess ,65.85714286
HIG,The Hartford,55.75
HII,Huntington Ingalls Industries,56.85714286
HLT,Hilton Worldwide,51.66666667
HOLX,Hologic,55.16666667
HON,Honeywell,56.83333333
HPE,Hewlett Packard Enterprise,56.375
HPQ,HP,55.83333333
HRL,Hormel,56.44444444
HSIC,Henry Schein,65
HST,Host Hotels & Resorts,55.83333333
HSY,The Hershey Company,50.375
HUM,Humana,52.625
HWM,Howmet Aerospace,59.5
IBM,IBM,56.83333333
ICE,Intercontinental Exchange,53
IDXX,Idexx Laboratories,57
IEX,IDEX ,45.75
IFF,International Flavors & Fragrances,52
ILMN,Illumina,53.16666667
INCY,Incyte,59
INTC,Intel,56.57142857
INTU,Intuit,56.5
IP,International Paper,56.5
IPG,Interpublic Group,59.8
IPGP,IPG Photonics,60.85714286
IQV,IQVIA,56.8
IR,Ingersoll Rand,49.5
IRM,Iron Mountain,58.25
ISRG,Intuitive Surgical,60.42857143
IT,Gartner,56.25
ITW,Illinois Tool Works,56.4
IVZ,Invesco,56.66666667
J,Jacobs Engineering Group,59.75
JBHT,J. B. Hunt,55.625
JCI,Johnson Controls,56.14285714
JKHY,Jack Henry & Associates,56
JNJ,Johnson & Johnson,58.16666667
JNPR,Juniper Networks,56.375
JPM,JPMorgan Chase,55.375
K,Kellogg's,56.66666667
