Ticker,Companies,CEO Pay,,,,,,,,,,,,,,,,
DLR,Digital Realty Trust,17139601,,,,,,,,,,,,,,,,
DLTR,Dollar Tree,10249698,,,,,,,,,,,,,,,,
DOV,Dover,14085860,,,,,,,,,,,,,,,,
DOW,Dow,24858892,,,,,,,,,,,,,,,,
DPZ,Domino's Pizza,7138003,,,,,,,,,,,,,,,,
DRI,Darden Restaurants,10128186,,,,,,,,,,,,,,,,
DTE,DTE Energy Company,11128277,,,,,,,,,,,,,,,,
DUK,Duke Energy,16451236,,,,,,,,,,,,,,,,
DVA,DaVita,3298439,,,,,,,,,,,,,,,,
DVN,Devon Energy,11914547,,,,,,,,,,,,,,,,
DXC,DXC Technology Co,28716680,,,,,,,,,,,,,,,,
DXCM,DexCom,11985324,,,,,,,,,,,,,,,,
EA,Electronic Arts,19858539,,,,,,,,,,,,,,,,
EBAY,eBay,21685102,,,,,,,,,,,,,,,,
ECL,Ecolab,8365889,,,,,,,,,,,,,,,,
ED,Consolidated Edison,10342198,,,,,,,,,,,,,,,,
EFX,Equifax,16065575,,,,,,,,,,,,,,,,
EIX,Edison International,14364340,,,,,,,,,,,,,,,,
EL,The Estee Lauder Companies,65996985,,,,,,,,,,,,,,,,
ELV,Elevance Health,19348241,,,,,,,,,,,,,,,,
EMN,Eastman Chemical Company,17798861,,,,,,,,,,,,,,,,
EMR,Emerson Electric Co,15806036,,,,,,,,,,,,,,,,
ENPH,Enphase Energy,19019162,,,,,,,,,,,,,,,,
EOG,EOG Resources,9752887,,,,,,,,,,,,,,,,
EPAM,EPAM Systems,5921524,,,,,,,,,,,,,,,,
EQIX,Equinix,23248193,,,,,,,,,,,,,,,,
EQR,Equity Residential,8490527,,,,,,,,,,,,,,,,
ES,Eversource Energy,6467078,,,,,,,,,,,,,,,,
ESS,Essex Property Trust,7183068,,,,,,,,,,,,,,,,
ETN,Eaton,19367607,,,,,,,,,,,,,,,,
ETR,Entergy,17045744,,,,,,,,,,,,,,,,
ETSY,Etsy,40584292,,,,,,,,,,,,,,,,
EVRG,Evergy,11138082,,,,,,,,,,,,,,,,
EW,Edwards Lifesciences,13613305,,,,,,,,,,,,,,,,
EXC,Exelon,15757378,,,,,,,,,,,,,,,,
EXPD,Expeditors International of Washington,13026304,,,,,,,,,,,,,,,,
EXPE,Expedia Group,296247749,,,,,,,,,,,,,,,,
EXR,Extra Space Storage,7315982,,,,,,,,,,,,,,,,
